Store Name,Address,lat,lon
ソユーゲームフィールド八戸店,青森県八戸市沼館4-7-112八戸ピアドゥＢ棟2F,40.5276915,141.4973727
タイトーＦステーション八戸店,青森県八戸市三日町２７,40.5092437,141.490567
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ,40.6013379,141.4201098
モーリーファンタジー三沢,青森県三沢市松園町３−１０−１ビードルプラザ三沢店１Ｆ,40.6750198,141.3629663
ゲームランドつがる柏店,青森県つがる市柏稲盛幾世41イオンモールつがる柏2F,40.8020367,140.4168295
ＰＡＬＯ五所川原,青森県五所川原市大字唐笠柳字藤巻６４１番１　アクロスプラザ,40.8008808,140.461454
ＰＡＬＯむつ,青森県むつ市中央２−７−８　１Ｆ,41.2867882,141.1837968
タイトーステーション 盛岡マッハランド店,岩手県盛岡市上堂１−２−３８マッハランド内,39.7236592,141.1269982
サンシャイン,岩手県盛岡市大通２ー７ー２１ジュリアンビル１階,39.7031596,141.1454593
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮７−１−１イオンモール盛岡南２Ｆ,39.6834723,141.1285162
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２−１０−３５,39.7003557,141.1330705
ゲームランド盛岡店,岩手県盛岡市前潟４−７−１イオンモール盛岡２Ｆ,39.7112726,141.0993197
ＧｉＧＯ一関,岩手県一関市山目字中野９２ー１,38.93347989999999,141.1175448
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８−６　銀河モール１Ｆ,39.3862682,141.1359977
アミューズメントゾーン北上店,岩手県北上市本通2-2-1さくら野北上店4F,39.2886075,141.1159661
アミューズメントパークアルコ,岩手県紫波郡矢巾町南矢幅７−４２５−３,39.6111842,141.1530034
キッズランド,岩手県紫波郡紫波町桜町１丁目１２−１　ナックス内キッズランド,39.549516,141.164294
ＰＡＬＯ久慈,岩手県久慈市長内町第３０地割３２−２久慈SC１F,40.1897802,141.7855839
ゲームランドプレーゴ金ケ崎,岩手県胆沢郡金ケ崎町三ヶ尻荒巻１６５イオンＳＣ金ヶ崎店内,39.2195472,141.1012501
ＧｉＧＯ水沢,岩手県奥州市水沢佐倉河字鐙田４−１,39.1526204,141.1494293
テクノワールド,岩手県奥州市江刺愛宕字梁川１２７−１,39.1792067,141.1621827
ソユーゲームフィールド釜石店,岩手県釜石市港町２−１−１イオンタウン釜石店３F,39.2714885,141.8808374
タイトーステーション仙台名掛丁店,宮城県仙台市青葉区中央１−７−１３,38.2620344,140.8791421
ＧｉＧＯ仙台,宮城県仙台市青葉区中央２−５−５三経６０ビル,38.26159639999999,140.8768934
ＧｉＧＯ仙台一番町,宮城県仙台市青葉区一番町４丁目５番１３号サンシャインビル１階,38.2640235,140.8712526
ゲームフィールド仙台上杉店,宮城県仙台市青葉区堤通雨宮町１ー１イオンモール仙台上杉３階,38.2760935,140.8725179
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５,38.2610147,140.8756573
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F,38.2509514,140.9440251
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４,38.3527449,140.8774362
ＧｉＧＯイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ,38.2991587,140.8287003
ラウンドワン仙台泉店,宮城県仙台市泉区大沢二丁目１２番４号　１階,38.3520265,140.8795076
スイーツ・ハート仙台泉大沢店,宮城県仙台市泉区大沢1-5-1イオンタウン泉大沢2F,38.3498622,140.8815453
ＧｉＧＯ泉中央ショッピングプラザセルバ,宮城県仙台市泉区泉中央１丁目４ー１,38.3235575,140.8820845
タイトーステーション 仙台ベガロポリス店,宮城県仙台市太白区西多賀５−２４−１ベガロポリス内,38.2193107,140.8488322
ゲームフィールド仙台長町店,宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階,38.225644,140.8768771
モーリーファンタジーヨドバシ仙台,宮城県仙台市宮城野区榴岡１丁目３ー１　ヨドバシ仙台本館５階,38.2594041,140.8841107
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１−７−１０,38.2681356,140.9173096
ユーズランド大河原店,宮城県柴田郡大河原町小島２−１フォルテ２Ｆ,38.0651587,140.7376337
ＧｉＧＯ名取,宮城県名取市飯野坂字土城堀５７−１,38.1565642,140.8884373
バンダイナムコＣｒｏｓｓＳｔｏｒｅ仙台,宮城県名取市杜せきのした５−３−１イオンモール名取３Ｆ,38.163927,140.8960151
ＧｉＧＯ石巻,宮城県石巻市大街道東４−１−４５,38.4291967,141.2853363
プラサカプコン石巻店,宮城県石巻市茜平4丁目104番地 ｲｵﾝ石巻ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2F,38.4478396,141.2661156
ＧｉＧＯ利府,宮城県宮城郡利府町加瀬字新前谷地５５−１,38.3280018,140.9756875
ＧｉＧＯ佐沼,宮城県登米市迫町佐沼字中江２−５−８,38.6904124,141.1891637
ゲームランド佐沼店,宮城県登米市南方町新島前４６−１イオンタウン佐沼ＳＣ,38.6834466,141.1838777
ＳＯＹＵＧａｍｅＦｉｅｌｄ矢本店,宮城県東松島市小松字上浮足４３番地イオンタウン矢本,38.42665,141.2039671
モーリーファンタジー古川,宮城県大崎市古川旭2-2-1ｲｵﾝ古川店２F,38.5670769,140.9724691
ＳＯＹＵ　ＧＡＭＥ　ＦＩＥＬＤ古川店,宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内,38.5990311,140.9741424
アピナ富谷店,宮城県富谷市大清水１丁目３３‐１　１０９シネマズ富谷１階,38.36539,140.876216
アピナ新利府　北館店,宮城県宮城郡利府町利府字新屋田前２２イオンモール新利府北館２,38.3268494,140.9719782
ＳＯＹＵＧａｍｅＦｉｅｌｄ御所野店,秋田県秋田市御所野地蔵田１ー１−１イオンモール秋田２Ｆ,39.6631625,140.1609294
ＧｉＧＯ秋田,秋田県秋田市茨島１−１−１６,39.7042453,140.1046398
ラウンドワン秋田店,秋田県秋田市卸町１−１−２,39.7021067,140.109213
ロックンボウル,秋田県秋田市広面字長沼３０１,39.7172827,140.1434859
ペニーポット秋田,秋田県秋田市中通2-8-1フォンテ秋田4F,39.7163149,140.1276197
ｎａｍｃｏイオンタウン大館西店,秋田県大館市根下戸新町18-121イオンタウン大館西内,40.273914,140.5293076
ＳＯＹＵＧａｍｅＦｉｅｌｄ大館店,秋田県大館市御成町三丁目７番５８号いとく大館ＳＣ３階,40.2808033,140.5603752
ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内,39.215976,140.5207015
